equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Sarmiento (J),Patronato,1,0,L
Huracan,Union,1,1,E
Def y Justicia,Racing Club,2,1,L
Atl Tucuman,San Martin (SJ),3,2,L
Colon,San Lorenzo,0,2,V
Godoy Cruz,Belgrano,1,0,L
River Plate,Gimnasia (LP),1,0,L
Independiente,Arsenal,2,0,L
Temperley,Newells,2,0,L
Sarmiento (J),Tigre,0,1,V
Argentinos,Lanus,1,1,E
Aldosivi,Atl Rafaela,2,1,L
Rosario Central,Quilmes,1,1,E
Estudiantes (LP),Boca Juniors,3,1,L
Patronato,Olimpo,1,0,L
Banfield,Velez,0,0,E
Arsenal,River Plate,2,1,L
Tigre,Aldosivi,2,0,L
Atl Rafaela,Argentinos,0,2,V
Olimpo,Sarmiento (J),0,1,V
Racing Club,Temperley,2,0,L
Quilmes,Independiente,0,3,V
Velez,Patronato,0,0,E
San Lorenzo,Banfield,1,1,E
San Martin (SJ),Godoy Cruz,2,0,L
Boca Juniors,Def y Justicia,0,0,E
Newells,Atl Tucuman,2,1,L
Union,Estudiantes (LP),1,1,E
Lanus,Huracan,1,3,V
Belgrano,Rosario Central,1,0,L
Gimnasia (LP),Colon,3,0,L
Sarmiento (J),Arsenal,1,0,L
Godoy Cruz,Huracan,1,0,L
Gimnasia (LP),Velez,2,0,L
Rosario Central,Def y Justicia,0,0,E
Racing Club,Talleres (C),1,1,E
Atl Tucuman,Atl Rafaela,1,0,L
San Lorenzo,San Martin (SJ),2,2,E
Tigre,Estudiantes (LP),0,3,V
Quilmes,Newells,0,1,V
Belgrano,Independiente,0,1,V
Union,Olimpo,1,0,L
River Plate,Banfield,4,1,L
Lanus,Boca Juniors,1,0,L
Aldosivi,Colon,0,2,V
Temperley,Patronato,1,0,L
Patronato,Gimnasia (LP),0,1,V
Huracan,Quilmes,1,1,E
Olimpo,Lanus,0,0,E
Banfield,Colon,0,0,E
San Martin (SJ),Racing Club,0,2,V
Union,Aldosivi,0,0,E
Def y Justicia,San Lorenzo,0,2,V
Independiente,Godoy Cruz,2,0,L
Newells,Tigre,1,0,L
Velez,Rosario Central,2,0,L
Estudiantes (LP),Sarmiento (J),1,0,L
Boca Juniors,Belgrano,3,0,L
Talleres (C),River Plate,0,1,V
Arsenal,Atl Tucuman,1,3,V
Atl Rafaela,Temperley,1,0,L
Colon,Talleres (C),1,0,L
Lanus,Union,0,1,V
San Lorenzo,Velez,2,1,L
Rosario Central,Patronato,2,1,L
Aldosivi,Banfield,1,3,V
Quilmes,Independiente,1,1,E
Sarmiento (J),Newells,1,1,E
Atl Tucuman,Estudiantes (LP),0,2,V
